사례번호,줄번호,내용,대입연도,대학명,모집단위,전형명
5743,187655,2022학년도 대입 면접 후기[DGIST 기초학부],2022 ,DGIST,무학과,학생부종합 - 일반
5743,187656,대 학 / 학 과,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187657,DGIST 기초학부,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187658,전 형 명,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187659,학생부종합 - 일반,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187660,면 접 시 간,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187661,15분[면접위원 2명],2022 ,DGIST,무학과,학생부종합 - 일반
5743,187662,면 접 절 차,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187663,면 접 특 징 [ 유 의 사 항 ],2022 ,DGIST,무학과,학생부종합 - 일반
5743,187664,Q : 수학 관련 보세요.,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187665,면접 대기실 접속 _ 본인 확인 절차 _ 면접실 입장 _ 면접 진행,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187666,◈ 자기소개서 및 학생부 기반 면접,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187667,"◈ 고등학교 교육과정에서의 수학, 과학(물리학) 관련 질문을 함",2022 ,DGIST,무학과,학생부종합 - 일반
5743,187668,◈ 교수님 두 분께서 각각 수학과 과학에 대한 질문을 함,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187669,질문 및 답변 내용 (질문 위주로 구체적으로 진술),2022 ,DGIST,무학과,학생부종합 - 일반
5743,187670,Q : 질문 드리겠습니다. 함수의 극한과 연속의 개념에 대해 배우셨죠? 극한 개념에 대해 설명해보세요,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187671,A : 극한의 개념에 대해 설명.,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187672,Q : 네 맞습니다. 그러면 극한 개념을 이용해 f(x)=x^-2라는 함수의 0에서의 극한에 대해 설명해보세요.,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187673,A : 좌극한과 우극한으로 나누어 0에서의 극한값을 설명.,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187674,Q : 네 그러면 f(x)Xg(x)가 연속이 되게하는 g(x)의 예시로는 어떤 것이 있나요?,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187675,A : 분모 분자의 0인자 개수에 대해 설명하며 x^3을 예시로 듦.,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187676,"Q : g(x)=x^2이라 한다면, f(x)Xg(x)는 x=0에서 연속인가요? 이유를 들어서 설명해보세요.",2022 ,DGIST,무학과,학생부종합 - 일반
5743,187677,A : 처음에는 연속이라고 잘못 설명했으나 약간의 힌트를 주심. 틀린 답변임을 인지하고 다시 제대로 설명.,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187678,Q : 이상으로 수학 관련 질문을 마치도록 하겠습니다. (질문자 교체) 다음은 물리 관련 질문을 드리겠습니다. 여기 보니까 고급물리학에서 이중 슬릿 실험을 했다고 되어있네요. 이중 슬릿 실험이 갖는 의의가 뭔가 요?,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187679,A : 빛의 입자성과 파동성에 대해 설명. 파동의 간섭이라는 성질로 인해 파동성을 지지하는 근거 실험임을 설명.,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187680,Q : 이중 슬릿 실험에서 보강 간섭 무늬 간 간격을 조절할 수 있는 방법이 무엇인가요?,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187681,A : 슬릿 간격과 슬릿과 간섭 무늬 간 거리 2가지를 설명.,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187682,Q : 각각의 경우에 무늬 간 간격이 어떻게 변하나요?,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187683,A : 횡설수설하면서 설명. 답변 내용에 대해 헷갈려하니까 답변 내용이 맞다고 알려주심.,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187684,Q : 에너지 띠 이론에 대해 알죠? 에너지 띠에 전자가 채워지는 방식에 대해 설명해보세요.,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187685,A : 아는대로 설명.,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187686,Q : 네 이상으로 물리 관련 질문도 마치도록 하겠습니다. (질문자 교체) 제출하신 서류에서 궁금한 점 몇개 에 대해 물어볼께요. 여기 서류에 보면 ‘세이버 매트릭스를 이용한 야구 경기 결과 예측하기’라는 활동을 하셨다고 했는데 어떻게 경기 결과를 예측한건가요?,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187687,A : 활동 내용에 대해서 자세히 설명.,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187688,Q : 여기 보면 활동 도중에 조원들과의 의견 대립이 있었지만 원활히 해결했다고 되어있는데 어떤 갈등이 있었나요?,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187689,A : 갈등 사항에 대해 설명. 그 결과 어떻게 해결하게 되었는지도 설명.,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187690,Q : 최근 미래 예측과 관련해서 머신 러닝과 딥러닝 기술이 발전하고 있는걸 아시죠?(기술 동향에 대해 간 략히 설명) 이러한 딥러닝 기술을 학생이 진행했던 연구에 적용한다면 어떤 장점이 있을 것 같나요?,2022 ,DGIST,무학과,학생부종합 - 일반
5743,187691,"A : 머신러닝에 대해서 알고있는 바에 대해 간단히 언급하고, 연구 과정에서 겪었던 여려움과 엮어서 딥러닝 방식의 장점 을 설명.",2022 ,DGIST,무학과,학생부종합 - 일반
