내용,대입연도,대학명,모집단위,전형명
"Q : 지원동기, 진로계획, 흥미",2011,경북대,자율전공학부,전공단위선발
Q : ~동아리에서 활동 했다고 했는데 재미있었나요? 어떤 활동을 했나요?,2011,경북대,자율전공학부,전공단위선발
Q : ~과목에 관심이 있다고 적었는데 그 과목에 관해 활동한 것을 자랑해보세요,2011,경북대,자율전공학부,전공단위선발
Q : ~라는 직업을 하고 시다고 했는데 그 이유는 무엇이고 어떤 면에서 자신과 적성이 맞다고 생각하는가?,2011,경북대,자율전공학부,전공단위선발
Q : 학교생활 중 가장 기억에 남는 일은 무엇인가?,2011,경북대,자율전공학부,전공단위선발
Q : 자율전공부의 장점은 무엇인가?,2011,경북대,자율전공학부,전공단위선발
Q : 자율전공을 다니면서 어려울 것 같은점?,2011,경북대,자율전공학부,전공단위선발
Q : 자신이 가고 싶은 전공 외에 관심있는 학문은?,2011,경북대,자율전공학부,전공단위선발
Q : 공부하면서 어려웠던 점과 그것을 극복한 방법은?,2011,경북대,자율전공학부,전공단위선발
"Q : 롤모델, 닮고 싶은 사람과 그 이유는?",2011,경북대,자율전공학부,전공단위선발
Q : 자유발언 1분,2011,경북대,자율전공학부,전공단위선발
Q : 입학사정관제에 지원한 이유,2011,경북대,자율전공학부,전공단위선발
"Q : 1,2학년 때 생기부에 기록된 직업이 ~인데 진로를 바꾸게 된 계기는?",2011,경북대,전자공학,전공단위선발
Q : 자기주도적 학습이라는 말이 있는데 자신만의 자기주도적 학습법은?,2011,경북대,전자공학,전공단위선발
"Q : 생기부에 2학년 때 양성평등 글짓기로 상을 받았는데, 자신이 생각하는 양성평등은?",2011,경북대,전자공학,전공단위선발
Q : 교내봉사활동 밖에 없는데 왜 그런가?,2011,경북대,전자공학,전공단위선발
Q : 해외봉사가 어떤 의미를 가진다고 생각하나?,2011,경북대,전자공학,전공단위선발
Q : 1학년 때 ~작가의 ~책을 읽었는데 그 내용을 설명해줄 수 있겠나?,2011,경북대,전자공학,전공단위선발
Q : 자신의 인생의 피크기는 언제일거라고 생각하나?,2011,경북대,전자공학,전공단위선발
"Q : [면접 3일전 질문문항 홈페이지에 발표, 그 가운데 3개 정도 질문]",2011,계명대,[공통문항],일반전형
Q : [행복지수에 대한 지문 제시 후 질문] 1. 자신의 행복지수와 이에 대한 설명,2011,계명대,[공통문항],잠재능력우수자
Q : [행복지수에 대한 지문 제시 후 질문] 2. 행복지수를 올리려면,2011,계명대,[공통문항],잠재능력우수자
Q : [행복지수에 대한 지문 제시 후 질문] 3. 우리나라 행복지수는 낮다. 어떻게 생각하나?,2011,계명대,[공통문항],잠재능력우수자
Q : SNS의 순기능과 역기능,2011,계명대,[공통문항],잠재능력우수자
Q : [연계질문]진정한 소통이란?,2011,계명대,[공통문항],잠재능력우수자
Q : [연계질문]SNS의 의사소통과 대면적 의사소통 중 어느 것을 선호하는가? 이유는?,2011,계명대,[공통문항],잠재능력우수자
Q : 흡연과 음주가 건강에 미치는 영향,2011,계명대,간호학과,일반전형
Q : 전자쓰레기,2011,계명대,간호학과,잠재능력우수자
Q : 다문화사회에서 발생하는 문제의 원인,2011,계명대,경영학과,면접우수자
Q : 단일민족을 자랑스럽게 여기는 우리 사회에 대한 생각,2011,계명대,경영학과,면접우수자
Q : 작심삼일'이라는 말에 대한 자신의 경험,2011,계명대,경영학과,면접우수자
Q : 멋진 삶에 대한 자신의 생각,2011,계명대,경영학과,면접우수자
Q : 행복'과 '국민소득' 간의 관계,2011,계명대,경제금융학과,일반전형
Q : (기본)지금까지 가장 힘들었던 일은 무엇입니까? 그 경험이 자신을 어떻게 변화시켰는지 말해 보시오.,2011,계명대,계열공통,면접
Q : (학업)학업과 관련하여 고교시절 가장 후회스러운 점은 무엇입니까? 같은 후회를 하지 않기 위해 대학에서는 어떤 노력을 할 계획입니까?,2011,계명대,계열공통,면접
Q : (학업)청년실업이 심각한 사회문제로 부각되고 있습니다. 본인은 취업을 위해 대학생활 중 어떤 준비를 하시겠습니까?,2011,계명대,계열공통,면접
Q : (학업)본 학과를 지원한 동기는 무엇입니까? 만약에 선택한 전공이 적성에 맞지 않으면 어떻게 대처할지 말해 보시오.,2011,계명대,계열공통,면접
Q : (학업)졸업 후 본인의 전공 지식과 재능으로 지역사회 발전에 어떻게 기여할 계획입니까?,2011,계명대,계열공통,면접
Q : (학업)본인의 전공과 관련된 뉴스 중 가장 기억에 남는 내용은 무엇입니까? 그 뉴스에 대해 어떻게 생각하는지 말해 보시오.,2011,계명대,계열공통,면접
Q : (학업)대학 신입생으로서 본인의 학업 및 생활 계획에 대해 구체적으로 말해 보시오.,2011,계명대,계열공통,면접
Q : (기본)인생의 라이벌이 누구입니까? 그 라이벌을 통해 자신의 삶이 어떻게 변화되었습니까?,2011,계명대,계열공통,면접
Q : (기본)인생에서 목숨을 걸 만큼 가치 있는 일이 뭐라고 생각하십니까? ,2011,계명대,계열공통,면접
Q : (기본)우리사회의 학력이나 외모에 대한 고정관념에는 무엇이 있습니까? 그 고정관념에 대해 어떻게 생각하는지 말해보시오.,2011,계명대,계열공통,면접
Q : (기본)자신의 장점이 무엇입니까? 그 장점을 어떻게 증명할 수 있습니까?,2011,계명대,계열공통,면접
Q : (기본)좋아하는 명언이나 문구가 무엇입니까? 그 이유를 설명해보시오.,2011,계명대,계열공통,면접
Q : 한미 FTA에 대한 본인의 생각,2011,계명대,국제통상학과,잠재능력우수자
Q : 경제 위기에 대한 본인의 생각,2011,계명대,국제통상학과,잠재능력우수자
Q : 빈부격차에 대한 본인의 생각,2011,계명대,국제통상학과,잠재능력우수자
Q : 대학 와서 스펙 쌓는 것에 대한 본인의 생각,2011,계명대,국제통상학과,잠재능력우수자
Q : 남들에게 자신을 소개할 때 어떻게 할 것인가,2011,계명대,국제통상학과,잠재능력우수자
Q : 빈부격차를 없애야 하는 이유,2011,계명대,미국학과,잠재능력우수자
Q : 미국 대통령은 누구? 무슨 당?,2011,계명대,미국학과,잠재능력우수자
Q : 미국은 도시 이름을 아는대로 서술하라,2011,계명대,미국학과,잠재능력우수자
Q : 본인의 잠재능력은 무엇인가,2011,계명대,미국학과,잠재능력우수자
Q : 본인을 한 단어로 표현한다면?,2011,계명대,미국학과,잠재능력우수자
Q : 도덕적으로 사는 삶이란?,2011,계명대,사회복지학과,면접우수자
Q : 성공하는 삶이란?,2011,계명대,사회복지학과,면접우수자
Q : 자기 엄마가 이주여성이라면?,2011,계명대,사회복지학과,면접우수자
Q : 직접세와 간접세를 나누는 기준을 아는가?,2011,계명대,세무학과,일반전형
Q : 시간을 되돌릴 수 있다면 언제로 돌아가고 싶은가?,2011,계명대,자율전공학부,잠재능력우수자
Q : 10년 후 어떤 모습이고 싶은가?,2011,계명대,자율전공학부,잠재능력우수자
Q : 중국어를 배워야 하는 이유,2011,계명대,중국학과,일반전형
Q : 영어 내신등급은?,2011,계명대,중국학과,일반전형
Q : 중한 FTA에 대하여,2011,계명대,중국학과,일반전형
Q : 제 2외국어는 뭘 배웠는지?,2011,계명대,중국학과,일반전형
Q : 중국이 이렇게 발전한 원동력은?,2011,계명대,중국학과,일반전형
Q : 가족 외에 나에게 감동을 준 사람,2011,계명대,텍스타일디자인학과,일반전형
Q : 취업률이 낮은 요즘 취업을 위해 무엇을 할건가,2011,계명대,텍스타일디자인학과,일반전형
Q : 텍스타일 디자인과가 뭐라고 생각하는가?,2011,계명대,텍스타일디자인학과,일반전형
Q : 학업 계획,2011,계명대,호텔관광학과,잠재능력우수자
